Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),food,Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),food_normalized
0.0,0.091,0.2,174.9,26.7,english muffin whole wheat,1.6,134.0,5.3,4.4,1.4,5.8,english muffin whole wheat
0.0,0.032,0.1,29.7,14.3,dinner roll whole wheat,0.7,74.0,2.4,2.1,1.3,2.4,dinner roll whole wheat
0.0,0.059,0.1,49.3,12.9,dinner roll,1.0,76.0,0.5,1.1,1.8,2.4,dinner roll
0.048,0.2,0.2,0.008,21.1,hotdog roll,0.095,117.0,3.1,0.8,1.6,4.1,hotdog roll
0.1,0.4,0.4,0.019,47.9,bagel,0.2,245.0,6.0,4.0,1.5,10.0,bagel
0.1,0.053,0.4,8.3,36.8,oat bran bagel,2.1,176.0,1.1,2.5,0.8,7.4,oat bran bagel
0.0,0.0,0.0,0.0,0.0,pain au chocolat de la boulangerie,0.0,235.0,0.0,0.0,12.0,0.0,pain au chocolat de la boulangerie
0.2,0.016,0.1,3.4,13.8,egg bagel,1.0,72.0,0.0,0.6,0.5,2.8,egg bagel
0.9,0.041,0.2,102.4,27.4,english muffin toasted,2.4,140.0,1.8,1.5,1.1,5.4,english muffin toasted
0.0,0.089,0.2,175.7,26.9,english muffin whole wheat toasted,1.6,135.0,5.4,4.5,1.4,5.9,english muffin whole wheat toasted
0.2,0.006,0.6,237.4,45.0,biscuit,2.9,357.0,2.2,1.5,16.5,7.1,biscuit
0.0,0.07,0.2,34.6,19.1,french roll,1.0,105.0,0.1,1.2,1.6,3.3,french roll
0.0,0.076,0.1,28.1,13.3,oat bran dinner roll,1.4,78.0,2.2,1.4,1.5,3.1,oat bran dinner roll
